# flnt: net longwave flux at top of model
# flntc: clear-sky net longwave flux at top of model
# fsnt: net shortwave flux at top of model
# fsntc: clear-sky net shortwave flux at top of model
# lwcf: longwave cloud forcing
# swcf: shortwave cloud forcing

lat,flnt,flntc,fsnt,fsntc,lwcf,swcf
-36.28272251,2.0861874,1.5709071,2.0580244,-0.028756248,-0.5152807,2.0922604
-35.34031414,2.0654263,1.5935631,1.9570942,-0.005732324,-0.47186217,1.9682647
-34.39790576,2.0767317,1.6226231,1.8955138,0.020864805,-0.45410776,1.8800787
-33.45549738,2.1338618,1.656829,1.9698805,0.059663348,-0.4770324,1.9155344
-32.51308901,2.1763709,1.6799725,1.8837255,0.067495026,-0.49639878,1.8214297
-31.57068063,2.2058973,1.7038245,1.7597319,0.06898848,-0.5020728,1.695915
-30.62827225,2.2376115,1.7671056,1.6119379,0.053427167,-0.4705047,1.5636684
-29.68586387,2.2523613,1.7940775,1.5651188,0.05609258,-0.45828328,1.5141187
-28.7434555,2.3412557,1.8778138,1.5583187,0.07428339,-0.4634422,1.4890387
-27.80104712,2.445807,1.9384003,1.6203632,0.06834337,-0.5074077,1.556883
-26.85863874,2.5432794,2.0059912,1.7114639,0.06903373,-0.5372893,1.6471204
-25.91623037,2.5932624,2.016022,1.7638917,0.053415935,-0.57723874,1.715067
-24.97382199,2.637293,2.034251,1.7746862,0.0554799,-0.6030428,1.7238234
-24.03141361,2.7021918,2.0615816,1.8019044,0.057417445,-0.6406094,1.7490815
-23.08900524,2.7925534,2.1030123,1.867591,0.048788495,-0.6895412,1.8233297
-22.14659686,2.8684444,2.1437933,1.9348619,0.047259014,-0.72464925,1.8921076
-21.20418848,2.9465883,2.1776679,1.9245355,0.015368779,-0.76892,1.9137268
-20.2617801,3.073209,2.207263,1.9221821,0.001305262,-0.86594576,1.9255064
-19.31937173,3.2367556,2.2516043,1.9242312,-0.023669878,-0.9851499,1.9526583
-18.37696335,3.4184084,2.3111818,2.0361207,-0.05168597,-1.1072268,2.0926306
-17.43455497,3.58538,2.3648643,2.0239887,-0.07044835,-1.2205155,2.099455
-16.4921466,3.7920544,2.4169073,2.1664276,-0.074265376,-1.3751452,2.2458103
-15.54973822,3.9845479,2.4646442,2.2107058,-0.07072279,-1.5199043,2.286704
-14.60732984,4.1791587,2.5046568,2.3852298,-0.06580787,-1.6745018,2.45637
-13.66492147,4.371977,2.5295448,2.619186,-0.060853854,-1.8424304,2.6854193
-12.72251309,4.507149,2.5359166,2.937,-0.049895182,-1.9712315,2.9922028
-11.78010471,4.5603437,2.5104883,3.2663317,-0.041865773,-2.0498536,3.3133893
-10.83769634,4.524569,2.4737291,3.3196666,-0.034823205,-2.050841,3.3598626
