# relative_pr_ann: ratio of change in annual mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_djf: ratio of change in DJF mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_jja: ratio of change in JJA mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# aerosol_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# bc_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - PI)


lat,relative_pr_ann,relative_pr_djf,relative_pr_jja,aerosol_pr_ann,aerosol_pr_djf,aerosol_pr_jja,bc_pr_ann,bc_pr_djf,bc_pr_jja
-27.801046,-0.29675716,-3.6552997,-0.09892173,-0.014725091,0.01152076,-0.039322335,-0.011235661,0.004220108,0.027994744
-26.858639,-4.4825296,5.3516545,-0.66097575,-0.024004443,0.002843188,-0.042301547,-0.022020333,-0.02694975,0.033753093
-25.916231,0.048706956,0.21315564,4.842863,-0.031219985,-0.006451951,-0.043265574,-0.024429165,-0.041413613,0.031330306
-24.973822,0.18300216,1.2571583,1.2422117,-0.0372505,-0.01627114,-0.044597756,-0.028579712,-0.052834816,0.021829
-24.031414,0.035118632,-15.179099,0.77125806,-0.046792272,-0.03797637,-0.05165598,-0.040251788,-0.07450045,0.010582984
-23.089005,1.1443238,0.21369942,-1.1059214,-0.059254315,-0.05048067,-0.061002765,-0.049100086,-0.09146304,0.001203992
-22.146597,1.5232785,1.1876963,0.12855949,-0.07061681,-0.063135415,-0.073052615,-0.052161347,-0.101708256,-0.008604024
-21.20419,-0.43231836,0.8203395,0.3259754,-0.079789095,-0.08745202,-0.08103511,-0.053739026,-0.110850856,-0.020924691
-20.26178,0.34843314,1.3418484,9.674012,-0.08582229,-0.09538702,-0.08971097,-0.04733932,-0.11847976,-0.034121666
-19.319372,-1.5441179,-23.068102,-6.3761845,-0.086105846,-0.08237808,-0.09154883,-0.024327002,-0.09732671,-0.035950176
