# totcloud: total cloud fraction
# lowcloud: low-level cloud fraction
# medcloud: med-level cloud fraction
# highcloud: high-level cloud fraction

lat,totcloud,lowcloud,medcloud,highcloud
-57.95811518,-0.000726542,0.001197435,-0.006612259,0.0002033
-57.01570681,-0.000934737,0.001261814,-0.007534732,-0.000296422
-56.07329843,-0.001084656,0.001087797,-0.008200228,-0.000673171
-55.13089005,-0.001274586,0.000780268,-0.008448904,-0.001262303
-54.18848168,-0.001569902,0.000467405,-0.008400527,-0.001791688
-53.2460733,-0.001931765,6.89E-05,-0.008165711,-0.001894896
-52.30366492,-0.002454222,-0.000610207,-0.007620654,-0.001864476
-51.36125654,-0.002811737,-0.001347281,-0.00685321,-0.001368749
-50.41884817,-0.003393574,-0.002279605,-0.005854039,-0.000717273
-49.47643979,-0.003906919,-0.003060167,-0.004785641,8.65E-05
-48.53403141,-0.004196522,-0.003851634,-0.003920611,0.000882626
-47.59162304,-0.00449514,-0.004932812,-0.003218276,0.001335149
-46.64921466,-0.004897264,-0.006050985,-0.003116805,0.001799722
-45.70680628,-0.005185669,-0.007043476,-0.003291583,0.001980805
-44.76439791,-0.004904253,-0.007602414,-0.003545899,0.002210358
-43.82198953,-0.004745874,-0.007998778,-0.004226258,0.002374137
-42.87958115,-0.004795783,-0.008245919,-0.005062176,0.002499152
-41.93717277,-0.005036598,-0.008434554,-0.005629661,0.002487381
-40.9947644,-0.004959235,-0.00812889,-0.006296713,0.001988747
-40.05235602,-0.005183041,-0.008056134,-0.006971684,0.001261114
-39.10994764,-0.005350648,-0.007838494,-0.007563159,0.000459931
-38.16753927,-0.005168391,-0.007234355,-0.008056629,3.35E-05
-37.22513089,-0.004848283,-0.006794472,-0.008476764,-2.15E-05
-36.28272251,-0.004107805,-0.005769581,-0.008565214,0.000171824
-35.34031414,-0.003668951,-0.004744049,-0.008418814,0.000290354
-34.39790576,-0.003239932,-0.003747277,-0.008422012,0.000151622
-33.45549738,-0.003443073,-0.003481994,-0.008551055,-0.000281027
-32.51308901,-0.003712451,-0.003400635,-0.008669145,-0.000975107
-31.57068063,-0.003588077,-0.002981448,-0.008317645,-0.001651155
-30.62827225,-0.003375351,-0.002550503,-0.007857079,-0.002199776
-29.68586387,-0.003957158,-0.002587286,-0.007650085,-0.002815906
-28.7434555,-0.004399722,-0.002809407,-0.007301086,-0.003601827
-27.80104712,-0.005170819,-0.002836238,-0.007236994,-0.004694905
-26.85863874,-0.005467282,-0.002656975,-0.0072563,-0.005210266
-25.91623037,-0.005865923,-0.002449489,-0.007390146,-0.005908005
-24.97382199,-0.005947744,-0.001994922,-0.007225978,-0.006711504
-24.03141361,-0.006217971,-0.002224453,-0.007184153,-0.007198317
-23.08900524,-0.006360625,-0.002446953,-0.007552122,-0.007440805
-22.14659686,-0.006483376,-0.002695826,-0.007749038,-0.007747821
-21.20418848,-0.006305288,-0.002316139,-0.007649154,-0.008390867
-20.2617801,-0.006252522,-0.001921001,-0.007603396,-0.008999992
-19.31937173,-0.00664173,-0.001452675,-0.007793946,-0.010035086
-18.37696335,-0.007538112,-0.001532572,-0.007979424,-0.011364652
-17.43455497,-0.008524355,-0.001300612,-0.00808285,-0.012959757
-16.4921466,-0.009736325,-0.000931674,-0.008503202,-0.014750223
-15.54973822,-0.011012983,-0.000996236,-0.009057517,-0.016380582
-14.60732984,-0.012159512,-0.001050049,-0.009776276,-0.017628385
-13.66492147,-0.013058548,-0.001602146,-0.010929573,-0.018277522
-12.72251309,-0.013870775,-0.002561144,-0.01185954,-0.01840361
-11.78010471,-0.014610537,-0.003443806,-0.012767212,-0.018351786
-10.83769634,-0.014365854,-0.004039595,-0.013107005,-0.017631868
-9.895287958,-0.014309204,-0.004972274,-0.013076793,-0.016956676
-8.952879581,-0.013759064,-0.005876209,-0.012194833,-0.015758986
